id,question,answer,category,created_at,updated_at
05fdbe2c-139a-4418-91f1-0896eb69118b,Are there parking fees or rules for student vehicles on campus?,Student parking is near the main gate. Bicycle parking is free. Two-wheelers need valid college ID passes. No fees for regular students.,Parking & Campus,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
1bb7dc85-8ca5-438f-af07-2e662eea651f,What is the procedure to issue books from the college library?,Present a valid Library Card. Issue up to 2 books for 14 days. Late fee of Rs. 1 per day.,Library,2026-05-27 14:59:21.331861+00,2026-05-27 14:59:21.331861+00
2ddc15d2-257e-4091-9235-9592918690bd,What is the procedure to issue books from the college library?,Present a valid Library Card. Issue up to 2 books for 14 days. Late fee of Rs. 1 per day.,Library,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
30338a9b-1aa1-4692-b9a0-2f3f8d88fd8a,What are the college canteen timings and popular items?,"The Lohia College canteen is open from 9:30 AM to 3:30 PM on all working days. Popular items include hot Samosas (Rs. 10), Chai (Rs. 5), Bread Pakora (Rs. 12).",Canteen,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
3e73b917-16b6-4824-a289-c7666b143ca8,How can a student join the NSS unit of Lohia College?,Applications start in July/August. Contact NSS Program Officers in your department. Selection is merit and interview based.,NSS & NCC,2026-05-27 14:59:21.331861+00,2026-05-27 14:59:21.331861+00
4763389e-9189-41e3-a7fc-bccf76a1c59f,What are the college canteen timings and popular items?,"The Lohia College canteen is open from 9:30 AM to 3:30 PM on all working days (Monday to Friday). Popular items include hot Samosas (Rs. 10 each), Chai (Rs. 5), Bread Pakora (Rs. 12), and cold beverages.",Canteen,2026-05-27 14:59:21.331861+00,2026-05-27 14:59:21.331861+00
48c150e1-4016-44a5-ab9d-ce96a490a735,Are there parking fees or rules for student vehicles on campus?,Student parking is near the main gate. Bicycle parking is free. Two-wheelers need valid college ID passes. No fees for regular students.,Parking & Campus,2026-05-27 14:59:21.331861+00,2026-05-27 14:59:21.331861+00
491a061b-cd07-4109-82e2-b271130c0927,What is the procedure to issue books from the college library?,"To issue books, students must present a valid Library Card which is made in the beginning of the semester. A student can issue up to 2 books at a time for a duration of 14 days. A late fee of Rs. 1 per day is charged for overdue books.",Library,2026-05-27 14:59:21.331861+00,2026-05-27 14:59:21.331861+00
49945c11-039f-43a7-b92d-568cd8328549,What are the college canteen timings and popular items?,"The Lohia College canteen is open from 9:30 AM to 3:30 PM on all working days (Monday to Friday). Popular items include hot Samosas (Rs. 10 each), Chai (Rs. 5), Bread Pakora (Rs. 12), and cold beverages.",Canteen,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
555bb9ef-2ecb-49de-868c-44b595658425,What are the college canteen timings and popular items?,"The Lohia College canteen is open from 9:30 AM to 3:30 PM on all working days. Popular items include hot Samosas (Rs. 10), Chai (Rs. 5), Bread Pakora (Rs. 12).",Canteen,2026-05-27 14:59:21.331861+00,2026-05-27 14:59:21.331861+00
6e6ec7e6-612d-4073-9bca-3426292a6923,Are there parking fees or rules for student vehicles on campus?,Student parking is located near the main entrance gate. Bicycle parking is free of charge. Two-wheelers (motorcycles/scooters) must have valid college ID passes to enter. No parking fees are charged to regular college students with proper ID.,Parking & Campus,2026-05-27 14:59:21.331861+00,2026-05-27 14:59:21.331861+00
72258e10-647b-4975-9fba-9407b24c02a6,What is the procedure to issue books from the college library?,Present a valid Library Card. Issue up to 2 books for 14 days. Late fee of Rs. 1 per day.,Library,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
7a06a44b-c9ee-407c-a255-15bcd6dc673d,How can a student join the NSS unit of Lohia College?,Applications start in July/August. Contact NSS Program Officers in your department. Selection is merit and interview based.,NSS & NCC,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
84c4b819-f8d2-444b-a868-262098c827ee,Are there parking fees or rules for student vehicles on campus?,Student parking is near the main gate. Bicycle parking is free. Two-wheelers need valid college ID passes. No fees for regular students.,Parking & Campus,2026-05-27 14:59:21.331861+00,2026-05-27 14:59:21.331861+00
8539547a-0559-4862-ab94-c0777898e824,How can a student join the NSS unit of Lohia College?,Applications start in July/August. Contact NSS Program Officers in your department. Selection is merit and interview based.,NSS & NCC,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
